Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid,GP,IDFANGRAPHS,Position,R_z,HR_z,SB_z,RBI_z,OBP_z,SLG_z,z-score,FVARz,SGP,R_sgp,HR_sgp,SB_sgp,RBI_sgp,OBP_sgp,SLG_sgp
Luis Garcia,WSN,68,394,367.7315915,98.46389098,17.41322578,2.467168737,7.796550554,43.58058084,40.37825163,19.95638089,68.63779244,1.912179173,5.248699226,2.372823134,0.26652324,0.304693778,0.392046682,0.696862925,0.289,-0.4,-0.3,0,999,20391,95.56239039,20391,2B,-1.921883987,-1.549768401,-0.371473339,-1.7243879,-0.774784671,-0.809836277,-7.152134575,,3.032426056,1.434434671,0.505220343,0.737883799,1.367003813,-0.445110676,-0.567005895
Ildemaro Vargas,CHC,34,247,226.7315915,60.46389098,11.41322578,1.467168737,4.796550554,28.58058084,24.37825163,15.95638089,31.63779244,1.912179173,2.248699226,1.372823134,0.264454075,0.311653233,0.400406447,0.714040454,0.294,0,-0.1,0,999,13324,61.56239039,13324,2B,-2.764912884,-1.863433485,-0.709288109,-2.539711602,-0.411930086,-0.447888632,-8.737164797,,1.86348601,0.940716605,0.310818855,0.316131418,0.825324564,-0.21968445,-0.309820982
Sheldon Neuse,LAD,19,184,166.7315915,42.46389098,8.413225784,0.467168737,4.796550554,21.58058084,19.37825163,14.95638089,40.63779244,0.912179173,2.248699226,0.372823134,0.252055198,0.310050807,0.401230394,0.713597784,0.286,0.2,-0.1,-0.1,600.9,19635,46.56239039,19635,2B,-3.158326369,-1.863433485,-0.709288109,-2.794500259,-0.330574589,-0.32839932,-9.18452213,,1.591254201,0.710314841,0.310818855,0.316131418,0.656049799,-0.175853885,-0.226206827
Jason Kipnis,ATL,15,163,145.7315915,36.46389098,7.413225784,0.467168737,4.796550554,19.58058084,18.37825163,14.95638089,27.63779244,1.912179173,2.248699226,0.372823134,0.251675807,0.318818089,0.409376641,0.730294431,0.299,-0.1,0,-0.1,600.8,9776,42.56239039,9776,2B,-3.270730222,-1.863433485,-0.709288109,-2.84545799,-0.224712017,-0.253492038,-9.167113861,,1.621979527,0.644485766,0.310818855,0.316131418,0.622194846,-0.102498223,-0.169153135
Neil Walker,,13,156,139.7315915,34.46389098,6.413225784,0.467168737,3.796550554,18.58058084,16.37825163,13.95638089,27.63779244,1.912179173,1.248699226,0.372823134,0.251347157,0.319572747,0.400553798,0.722320463,0.292,-0.6,-0.1,-0.1,999,7539,40.56239039,7539,2B,-3.326932149,-1.967988512,-0.821893032,-2.947373453,-0.210611239,-0.279897044,-9.554695429,,1.301327055,0.611571228,0.246018359,0.175547291,0.55448494,-0.093750367,-0.192544396
Logan Forsythe,,23,198,174.7315915,41.46389098,8.413225784,0.467168737,4.796550554,22.58058084,18.37825163,19.95638089,40.63779244,1.912179173,2.248699226,0.372823134,0.238334124,0.316269437,0.371799962,0.689797941,0.279,-0.3,0,-0.1,999,7185,50.56239039,7185,2B,-3.102124443,-1.863433485,-0.709288109,-2.84545799,-0.290978557,-0.495268348,-9.306550932,,1.487117762,0.743229379,0.310818855,0.316131418,0.622194846,-0.142890032,-0.362366704
Chris Owings,COL,21,191,172.7315915,43.46389098,8.413225784,0.467168737,5.796550554,22.58058084,20.37825163,14.95638089,40.63779244,1.912179173,3.248699226,1.372823134,0.252089824,0.310378788,0.408918285,0.720612525,0.292,0,0,-0.1,599.5,10030,48.56239039,10030,2B,-3.102124443,-1.758878457,-0.596683186,-2.743542528,-0.338672455,-0.300630669,-8.840531737,,1.883672202,0.743229379,0.375619351,0.456715545,0.689904752,-0.180055939,-0.201740886
Kyle Farmer,CIN,84,463,423.7315915,103.463891,21.41322578,1.467168737,10.79655055,47.58058084,47.37825163,30.95638089,96.63779244,5.912179173,5.248699226,1.372823134,0.244790835,0.300560148,0.381141237,0.682440588,0.284,-1.5,-0.3,-0.2,600.2,14813,111.5623904,14813,2B/SS,-1.697076281,-1.236103318,-0.371473339,-1.36768378,-1.000946379,-1.067677711,-6.740960808,,3.260715098,1.566092821,0.699621832,0.737883799,1.603988485,-0.588636301,-0.758235538
Fernando Tatis Jr.,SDP,154,665,584,166,28,6,37,111,107,65,166,10,28,10,0.284,0.363,0.542,0.905,0.375,-2,1.5,5.7,2.3,19709,154,19709,SS,1.867217253,1.503599067,2.190435139,1.670505258,0.672061,1.303636732,9.207454449,,15.41393325,3.653513684,2.397618354,3.936355558,3.622479977,0.648276461,1.15568922
Corey Seager,LAD,149,644,575,167,37,2,31,98,111,58,115,5,4,1,0.291,0.358,0.523,0.881,0.366,0.1,0.9,5.3,38.4,13624,149,13624,SS/DH,1.136592208,0.8762689,-0.51208302,1.874336184,0.487312039,0.96114244,4.823568751,,10.95445522,3.225624694,2.008815378,0.562336508,3.757899789,0.514532407,0.885246447
