Name,Team,W,L,SV,HLD,ERA,GS,G,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,ADP,playerid,GP,K,SVH,QS,IDFANGRAPHS,Position,K_z,ERA_z,WHIP_z,QS_z,W_z,SVH_z,z-score,FVARz,SGP,K_sgp,ERA_sgp,WHIP_sgp,QS_sgp,W_sgp,SVH_sgp
Ryan Buchter,ARI,2.239320657,2,1.095274605,4.433784807,4.352784834,0.867737507,32,42,34.44677816,19.04307968,6.517069588,35,17.68501623,1.376365155,9.789721747,4.146603112,4.721915477,0,999,9456,41.02979763,46.74919442,4.102953598,0.158867639,9456,RP,-1.210289709,-0.144576045,-0.251020392,-1.783134548,-1.45512013,-0.0881694,-4.932310224,-3.194110635,1.033267559,0.465497583,-0.06827608,-0.09292429,0.023958579,0.386957572,0.318054195
Dean Kremer,BAL,9.00677937,10.78861678,0,0,5.039296131,29.31518254,24,173,160.830195,89.49390435,30.33917884,135,70.36135892,1.47569737,8.518591427,3.979690613,5.174024088,1,999,19350,30.00504915,161.8393242,0.078348466,10.87646203,19350,SP,0.822519537,-1.446084567,-1.603613421,-0.012736477,0.093680348,-0.505200177,-2.651434758,-3.19682128,3.018186813,1.611489036,-1.016050317,-0.779970874,1.640262133,1.55638339,0.006073444
Ranger Suarez,PHI,2.239320657,2,1.095274605,4.605474048,4.095924076,0.867737507,30,40,35.44677816,17.04307968,4.517069588,25,11.68501623,1.334619762,8.078910617,3.088067236,4.321992096,0.1,999,17277,39.02979763,36.74919442,4.102953598,0.158867639,17277,RP,-1.386917301,-0.05538224,-0.168783723,-1.783134548,-1.45512013,-0.0881694,-4.937507342,-3.199307753,1.055151865,0.365924192,0.004809819,-0.044552491,0.023958579,0.386957572,0.318054195
Mike Montgomery,NYM,2.239320657,1,1.095274605,4.79523584,3.993077975,0.867737507,28,38,33.44677816,15.04307968,3.517069588,23,11.68501623,1.341062252,7.931781893,3.174653371,4.254158434,0,999,4869,37.02979763,34.74919442,4.102953598,0.158867639,4869,RP,-1.422242819,-0.02255694,-0.17397924,-1.783134548,-1.45512013,-0.0881694,-4.945203078,-3.207003489,1.057338257,0.346009513,0.031193674,-0.048835276,0.023958579,0.386957572,0.318054195
Anibal Sanchez,,9.00677937,9.788616785,0,0,5.096521538,26.31518254,21,150,145.830195,78.49390435,26.33917884,100,46.36135892,1.432203145,7.665189221,3.109206636,5.098982721,0.4,598.1,3284,27.00504915,126.8393242,0.078348466,10.87646203,3284,SP,0.204322966,-1.329379881,-1.112708719,-0.012736477,0.093680348,-0.505200177,-2.662021942,-3.207408464,2.997319835,1.262982167,-0.946477841,-0.521903458,1.640262133,1.55638339,0.006073444
Riley Smith,ARI,2.239320657,2,1.095274605,3.444389185,4.433338357,3.867737507,33,59,56.44677816,27.04307968,7.517069588,41,17.68501623,1.361463595,7.96109465,3.022947273,4.514197171,0.2,999,19826,42.02979763,52.74919442,4.102953598,0.158867639,19826,RP,-1.104313154,-0.226137467,-0.290496176,-1.783134548,-1.45512013,-0.0881694,-4.947370876,-3.209171286,1.020784741,0.525241618,-0.127038498,-0.106388724,0.023958579,0.386957572,0.318054195
Brandon Bielak,HOU,2.239320657,2,1.095274605,4.058393734,4.66360429,5.867737507,5,38,33.44677816,18.04307968,5.517069588,24,14.68501623,1.428145585,8.232615226,3.887153371,5.061658434,0.1,999,19866,14.02979763,35.74919442,3.102953598,2.730867639,19866,RP,-1.40458006,-0.231317042,-0.318779107,-1.358275791,-1.45512013,-0.191789697,-4.959861826,-3.221662237,1.116728159,0.355966853,-0.142356761,-0.136213202,0.411837854,0.386957572,0.240535844
Kyle Freeland,COL,11.00677937,11.78861678,0,0,5.048533822,34.31518254,29,199,208.830195,104.4939043,28.33917884,133,69.36135892,1.520771031,7.314995894,3.398284692,4.787846681,1.8,571.6,16256,35.00504915,159.8393242,0.078348466,13.29246203,16256,SP,0.787194019,-1.672574186,-2.228322251,0.386353242,0.551400312,-0.505200177,-2.681149042,-3.226535564,3.23596273,1.591574358,-1.16504008,-1.10324632,2.004615294,1.901986036,0.006073444
Dany Jimenez,OAK,2.239320657,2,1.095274605,5.120541769,4.142484658,0.867737507,25,35,27.44677816,14.04307968,4.517069588,26,13.68501623,1.369577513,9.498789575,4.136741374,4.519991218,0,999,21170,34.02979763,37.74919442,4.102953598,0.158867639,,RP,-1.369254542,-0.066720291,-0.208529376,-1.783134548,-1.45512013,-0.0881694,-4.970928288,-3.232728699,1.026504478,0.375881531,-0.006897836,-0.071449563,0.023958579,0.386957572,0.318054195
Grant Dayton,ATL,1.239320657,1,1.095274605,5.006082275,4.087137862,0.867737507,26,36,28.44677816,15.04307968,5.517069588,30,11.68501623,1.27676061,10.31012024,3.306160039,4.304774018,0,999,11203,35.02979763,41.74919442,4.102953598,0.158867639,11203,RP,-1.298603505,-0.051179865,-0.066606794,-1.783134548,-1.683980112,-0.0881694,-4.971674224,-3.233474634,0.993249596,0.415710887,0.006495054,0.014874632,0.023958579,0.214156249,0.318054195
Bud Norris,,2.239320657,2,1.095274605,4.535851821,4.068734207,0.867737507,24,34,26.44677816,14.04307968,4.517069588,27,12.68501623,1.329795184,10.0501257,3.766440041,4.276354655,0.1,999,9492,33.02979763,38.74919442,3.102953598,0.158867639,9492,RP,-1.351591783,-0.045391783,-0.145055328,-1.783134548,-1.45512013,-0.191789697,-4.972083269,-3.233883679,1.014050144,0.38583887,0.010412186,-0.033652907,0.023958579,0.386957572,0.240535844
Kyle McGowin,WSN,1.239320657,1,1.095274605,5.834827483,4.142484658,0.867737507,25,35,29.44677816,14.04307968,4.517069588,26,9.685016234,1.291799735,9.522122908,3.032296929,4.23221344,0.1,999,15071,34.02979763,37.74919442,5.102953598,0.158867639,,RP,-1.369254542,-0.066720291,-0.089412555,-1.783134548,-1.683980112,0.015450897,-4.977051152,-3.238851563,1.003218967,0.375881531,-0.006897836,0.000547899,0.023958579,0.214156249,0.395572545
Sam Howard,PIT,1.239320657,2,1.095274605,5.627539511,4.022620623,0.867737507,27,37,29.44677816,15.04307968,4.517069588,28,13.68501623,1.340233789,9.572458103,3.772199188,4.307225634,0.1,999,16265,36.02979763,39.74919442,5.102953598,0.158867639,,RP,-1.333929024,-0.031952544,-0.169597598,-1.783134548,-1.683980112,0.015450897,-4.98714293,-3.24894334,1.005657422,0.395796209,0.02294007,-0.046766231,0.023958579,0.214156249,0.395572545
Brad Boxberger,MIL,2.239320657,2,1.095274605,4.6979221,4.297101616,0.867737507,29,39,30.44677816,17.04307968,5.517069588,33,18.68501623,1.413489553,10.26909247,4.743333915,4.630196017,0,999,10133,38.02979763,44.74919442,4.102953598,0.158867639,10133,RP,-1.245615228,-0.119261937,-0.300619007,-1.783134548,-1.45512013,-0.0881694,-4.99192025,-3.25372066,1.001196754,0.445582905,-0.048719253,-0.124637244,0.023958579,0.386957572,0.318054195
Ian Kennedy,TEX,1.239320657,1,1.095274605,5.241734174,4.026381266,0.867737507,24,34,27.44677816,14.04307968,4.517069588,26,9.685016234,1.260249729,9.656034792,3.016894587,4.229991019,0.1,600.8,6986,33.02979763,37.74919442,4.102953598,0.158867639,6986,RP,-1.369254542,-0.033593724,-0.04158944,-1.783134548,-1.683980112,-0.0881694,-4.999721767,-3.261522177,0.981211206,0.375881531,0.020241799,0.028918854,0.023958579,0.214156249,0.318054195
Jairo Diaz,COL,2.239320657,2,1.095274605,5.760421376,4.554154734,0.867737507,35,45,40.44677816,21.04307968,5.517069588,34,18.68501623,1.46056342,8.969918743,4.103697488,4.462720088,0.1,999,12774,44.02979763,45.74919442,6.102953598,0.158867639,12774,RP,-1.227952468,-0.226340588,-0.430568315,-1.783134548,-1.45512013,0.119071193,-5.004044857,-3.265845268,1.005961724,0.455540244,-0.134520343,-0.199065223,0.023958579,0.386957572,0.473090896
Nick Pivetta,BOS,8.00677937,6.788616785,0,0.769230769,4.942140236,21.31518254,22,130,118.830195,64.49390435,19.33917884,90,44.36135892,1.439353538,8.228337873,3.481607466,4.747605562,0.9,530.5,15454,28.00504915,116.8393242,1.078348466,9.668462034,15454,SP,0.027695374,-0.992933785,-1.012814914,-0.212281337,-0.135179634,-0.401579881,-2.727094176,-3.272480698,2.909664473,1.163408775,-0.698620443,-0.480383274,1.458085553,1.383582067,0.083591794
Kohei Arihara,TEX,2.00677937,0.788616785,0,0,4.121685559,29.31518254,24,171,143.830195,71.49390435,22.33917884,139,50.36135892,1.271375951,8.859273929,2.94869251,4.19371587,2.6,999,sa3014740,30.00504915,165.8393242,0.078348466,2.420462034,,SP,0.893170574,-0.144230534,-0.056919047,-1.409550495,-1.508339525,-0.505200177,-2.731069205,-3.276455728,2.44888632,1.651318393,-0.008783998,0.08847828,0.365026073,0.34677413,0.006073444
Jeffrey Springs,TBR,1.239320657,1,1.095274605,5.241734174,3.920498913,0.867737507,24,34,26.44677816,13.04307968,3.517069588,28,12.68501623,1.314340638,10.33603479,3.851440041,4.152718291,0,999,17677,33.02979763,39.74919442,4.102953598,0.158867639,17677,RP,-1.333929024,-0.004098577,-0.122062908,-1.783134548,-1.683980112,-0.0881694,-5.015374569,-3.277174979,0.977032991,0.395796209,0.04481583,-0.019748071,0.023958579,0.214156249,0.318054195
Brett de Geus,TEX,2.239320657,3,1.095274605,7.004210806,4.627633905,0.867737507,42,52,47.44677816,25.04307968,6.517069588,34,24.68501623,1.509209485,7.797185982,4.566505836,4.888058142,0,999,sa3006813,51.02979763,45.74919442,8.102953598,0.158867639,,RP,-1.227952468,-0.286745046,-0.599142015,-1.783134548,-1.45512013,0.326311786,-5.025782422,-3.287582833,1.018450562,0.455540244,-0.180685458,-0.295447971,0.023958579,0.386957572,0.628127597
Jeff Samardzija,,8.00677937,7.788616785,0,0,4.986187834,23.31518254,18,129,119.830195,64.49390435,22.33917884,76,33.36135892,1.374380919,7.287950061,2.726460343,5.038659685,0.7,599.2,3254,24.00504915,102.8393242,0.078348466,9.668462034,3254,SP,-0.219583255,-1.032152261,-0.638724051,-0.212281337,-0.135179634,-0.505200177,-2.743120714,-3.288507236,2.875186889,1.024006027,-0.730480345,-0.266079857,1.458085553,1.383582067,0.006073444
Oliver Drake,TBR,1.239320657,1,1.095274605,6.150677211,3.612034394,0.867737507,18,28,20.44677816,10.04307968,2.517069588,19,8.685016234,1.257131265,9.638566602,3.46745689,3.838410653,0.1,999,8823,27.02979763,30.74919442,4.102953598,0.158867639,8823,RP,-1.492893856,0.060457904,-0.040743385,-1.783134548,-1.683980112,-0.0881694,-5.028463398,-3.290263809,0.984740747,0.306180157,0.096179531,0.026212037,0.023958579,0.214156249,0.318054195
Tommy Hunter,NYM,1.239320657,1,1.095274605,5.80729873,3.757898768,0.867737507,20,30,23.44677816,11.04307968,3.517069588,18,6.685016234,1.228274702,8.621138271,2.590084045,4.017490121,0,999,1157,29.02979763,29.74919442,4.102953598,0.158867639,1157,RP,-1.510556615,0.031729152,-0.001598439,-1.783134548,-1.683980112,-0.0881694,-5.035709963,-3.297510373,0.976404752,0.296222818,0.073000681,0.05101223,0.023958579,0.214156249,0.318054195
Andrew Kittredge,TBR,1.239320657,1,1.095274605,6.768758476,3.511478521,0.867737507,15,25,18.44677816,8.043079682,2.517069588,15,6.685016234,1.219456802,9.432729453,2.832953195,3.832845852,0,999,12828,24.02979763,26.74919442,4.102953598,0.158867639,12828,RP,-1.563544893,0.07036899,-0.001426872,-1.783134548,-1.683980112,-0.0881694,-5.049886836,-3.311687246,0.97426994,0.2663508,0.103260878,0.048489239,0.023958579,0.214156249,0.318054195
Jose Castillo,SDP,1.239320657,0,1.095274605,8.210948095,3.341848152,0.867737507,10,20,12.44677816,6.043079682,1.517069588,13,5.685016234,1.191032936,11.23818436,3.54011206,3.669986827,0,999,17169,19.02979763,24.74919442,4.102953598,0.158867639,17169,RP,-1.598870411,0.076236442,0.012044272,-1.783134548,-1.683980112,-0.0881694,-5.065873758,-3.327674168,0.962835251,0.246436122,0.106172759,0.054057347,0.023958579,0.214156249,0.318054195
Casey Mize,DET,7.00677937,6.788616785,0,0,4.731114516,23.31518254,18,133,122.830195,62.49390435,20.33917884,85,37.36135892,1.374273412,7.646834722,2.887774199,4.758753926,1.2,436.2,20492,24.00504915,111.8393242,0.078348466,8.460462034,20492,SP,-0.060618422,-0.784990432,-0.656091507,-0.411826197,-0.364039616,-0.505200177,-2.782766351,-3.328152873,2.801109112,1.11362208,-0.5318732,-0.273402928,1.275908973,1.210780744,0.006073444
Dillon Maples,CHC,1.239320657,1,1.095274605,5.506842559,3.745530095,0.867737507,22,32,20.44677816,12.04307968,2.517069588,31,18.68501623,1.426928288,11.96060788,5.973413376,4.065228686,0,999,14672,31.02979763,42.74919442,4.102953598,0.158867639,,RP,-1.280940746,0.039705473,-0.275969387,-1.783134548,-1.683980112,-0.0881694,-5.072488721,-3.334289131,0.94827405,0.425668227,0.08048697,-0.11405017,0.023958579,0.214156249,0.318054195
