mlbamid,"steamerid","proj_season","firstname","lastname","Team",BasicPF,"position","bats",p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,wRAA_adj,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
571681,"10329","2019","Rey","Fuentes","FA",1,"OF","L",0.098,0.054,0.022,0.011,0.050,0.094,0.205,0.231,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.005333,28.00,0.77,0.2,1.00,0.0030,0.0650,0.0680,0.2363,0.0090,0.0092,0.0068,0.0075,0.9087,0.2163,0.1621,0.0335,0.0066,0.0141,0.237951,0.295232,0.335835,0.277441,0.332210,0.0225,0.0080,0.0010,0.001,0.0020,-0.003,0.0918,0.0887,0.30369480,-0.031,0.089,0.000,-0.031,0.032,-0.005333333333333334,0.0000,-0.00055,-0.0005500,-0.00055
571697,"10339","2019","Scooter","Gennett","CIN",1.017791986465454,"2B","L",0.034,0.166,0.141,0.277,0.312,0.040,0.009,0.008,0.012,0.0,0.0,138.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.314980,29.00,0.86,138.8988,600.50,1.8020,37.3946,39.1961,127.1248,4.2040,5.5246,1.9264,4.4584,550.7155,144.4429,94.5604,28.1461,2.5637,19.1727,0.262282,0.313816,0.427142,0.318589,0.380780,3.8052,1.7907,-0.1312,-0.318,-0.4492,-5.623,69.0387,75.5749,0.30637669,1.758,73.691,-1.280,0.478,19.415,2.31498,0.0000,1.66109,0.0027662,1.66109
547912,"10340","2019","Gift","Ngoepe","PHI",0.9926416873931885,"SS","R",0.041,0.027,0.014,0.054,0.014,0.054,0.176,0.270,0.351,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.010000,29.00,0.74,0.2,1.00,0.0000,0.0859,0.0859,0.4065,0.0080,0.0092,0.0069,0.0076,0.8915,0.1536,0.1028,0.0309,0.0052,0.0147,0.172352,0.249325,0.268235,0.233818,0.344580,0.0101,0.0047,-0.0001,0.001,0.0009,-0.009,0.0787,0.0769,0.29064658,-0.066,0.054,0.001,-0.065,0.032,0.01,0.0000,-0.00320,-0.0032000,-0.00320
571974,"10346","2019","John Ryan","Murphy","ARI",1.0191624164581299,"C","R",0.009,0.028,0.014,0.116,0.017,0.056,0.120,0.347,0.293,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,1.456913,28.00,0.73,25.4860609096476,100.80,0.3020,6.5775,6.8799,24.8615,0.6050,0.9274,0.6615,0.7709,91.8829,20.7167,13.5204,4.3677,0.2630,2.5656,0.225467,0.281623,0.362494,0.279899,0.342720,0.4193,0.1729,-0.0114,0.089,0.0776,-0.222,9.3293,10.3805,0.27827715,-2.886,9.189,-0.231,-3.117,3.259,1.4569134507539983,3.1280,0.14973,0.0014854,0.47174
572000,"10347","2019","Mike","Ohlman","FA",1,"C","R",0.074,0.074,0.037,0.037,0.074,0.074,0.222,0.296,0.111,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016667,28.00,0.74,0.2,1.00,0.0000,0.0970,0.0970,0.3497,0.0060,0.0092,0.0063,0.0075,0.8831,0.1686,0.1130,0.0318,0.0020,0.0219,0.191001,0.273408,0.305748,0.259543,0.349920,0.0059,0.0025,-0.0001,0.001,0.0009,-0.002,0.0879,0.0872,0.28265896,-0.045,0.075,0.000,-0.045,0.032,0.016666666666666666,-0.0022,0.00026,0.0002600,0.00004
570267,"10348","2019","Domingo","Santana","SEA",0.9505985975265503,"LF","R",0.013,0.023,0.044,0.152,0.428,0.295,0.005,0.005,0.034,0.0,0.0,0.0,0.0,0.0,132.7,0.0,3.2,0.0,0.0,0.0,-6.791040,26.00,0.81,135.8208,569.70,1.7090,62.5334,64.2425,185.6810,5.1270,5.2412,1.8307,4.2667,494.2328,117.1672,73.4224,23.3269,1.3739,19.0440,0.237063,0.328481,0.405412,0.320374,0.436050,6.2870,2.8911,-0.0886,1.088,0.9994,-3.639,63.8510,65.5992,0.33400857,2.497,70.741,3.371,5.869,18.420,-6.791039999999999,0.0000,1.52958,0.0026849,1.52958
571830,"10349","2019","Tommy","Joseph","FA",1,"1B","R",0.009,0.009,0.026,0.407,0.191,0.173,0.074,0.034,0.077,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016667,27.00,0.80,0.2,1.00,0.0020,0.0600,0.0620,0.2367,0.0100,0.0092,0.0032,0.0072,0.9175,0.2211,0.1311,0.0468,0.0017,0.0415,0.241054,0.294123,0.431557,0.311023,0.383070,0.0025,0.0011,-0.0002,-0.002,-0.0022,-0.002,0.1109,0.1347,0.27780356,-0.003,0.117,0.000,-0.003,0.032,-0.016666666666666666,0.0000,0.00084,0.0008400,0.00084
588751,"10459","2019","Adeiny","Hechavarria","NYN",0.9379082918167114,"SS","R",0.006,0.006,0.001,0.004,0.009,0.019,0.038,0.278,0.639,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,6.1,0.0,0.0,0.014458,30.00,0.82,20.574,78.70,0.3940,3.8218,4.2153,13.9267,0.3940,0.7240,0.6198,0.6151,72.8563,17.9376,13.2442,3.2013,0.3171,1.1750,0.246211,0.288765,0.347242,0.276167,0.314520,0.6762,0.2527,0.0114,0.037,0.0484,0.117,6.9001,7.3500,0.28717982,-2.493,6.935,0.585,-1.907,2.545,0.014458473000000159,0.0000,0.08419,0.0010698,0.08419
571771,"10472","2019","Enrique","Hernandez","LAN",0.9551689624786377,"2B","R",0.017,0.122,0.008,0.114,0.220,0.023,0.330,0.127,0.040,0.0,3.6,29.1,9.1,10.9,9.1,9.1,27.3,7.6,0.0,0.0,-1.678907,27.00,0.79,105.81839999999998,437.20,3.4980,43.4985,46.9961,86.6389,2.1860,4.0222,2.1999,3.2979,382.5201,94.3512,55.6949,20.0773,2.1308,16.4482,0.246654,0.329959,0.439277,0.330017,0.374540,2.6490,1.1625,-0.0650,1.207,1.1420,1.422,51.6426,55.7164,0.27553762,5.355,57.727,2.348,7.703,14.136,-1.6789066019999999,0.0000,2.33931,0.0053507,2.33931
596144,"10473","2019","Cheslor","Cuthbert","KCA",1.0142649412155151,"3b","R",0.009,0.160,0.038,0.079,0.153,0.136,0.176,0.175,0.074,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,26.00,0.73,0.2,1.00,0.0000,0.0751,0.0751,0.2117,0.0070,0.0092,0.0052,0.0075,0.9052,0.2310,0.1513,0.0474,0.0034,0.0290,0.255121,0.314649,0.410849,0.314768,0.369580,0.0059,0.0026,-0.0002,-0.001,-0.0012,-0.005,0.1075,0.1120,0.30059524,0.000,0.120,-0.002,-0.002,0.032,0.0033333333333333335,0.0000,0.00279,0.0027900,0.00279
