"steamerid","mlbamid","proj_season","firstname","lastname","IP","G","GS","start_percent","start_IP","relief_IP","SV","LI","League","DBTeamId","FBV","reliability","Throws","age","Krate","BBrate","HBPrate","GBrate","FBrate","LDrate","SIERA","BABIP","TBF","batters_per_IP","ERA","RA","K","BB","IBB","1b","2b","3b","HR","HBP","SH","SF","GB","FB","LD","K9","BB9","HBP9","HR9","H","ER","R","WHIP","W","L","QS","HLD","holds_old","SV_old","HR/FB","FIP","pnFIP","LOB%","ERA-","CG","ShO","WAR","catcherframingruns"
"sa830040","657585","2019","Reed","Garrett","25","25","0","0","0","25","0","0.6","AL","DET",,"0.53306","R","26","0.1845","0.1023","0.008902","0.4440221","0.3490173","0.2069606","4.32","0.300986","111.012","4.44048","4.8214440000000005","5.177916","20.4818","11.3566","0.9243","16.95411","4.90384","0.62037","3.5036","0.9882","0.5995","1.11878","34.4483","27.0776","16.0565","7.373448","4.088376","0.35575199999999996","1.261296","25.9819","13.3929","14.3831","1.4935399999999999","1.1067","1.3158","0","0.7929","0.7929","0","0.12939108","4.8257","4.7279","0.71640966","115.26880724062775","0","0","-0.0394","0.0284"
"sa830119","658062","2019","Travis","Hissong","1","0.8886842105263157","0.0237","0.1371742","0.135","0.865","0","0.6548697","FA","FA",,"0.37958","R","27","0.20958519","0.09852167","0.00821","0.40400623","0.39101306","0.20498071","4.0636763","0.2909100684","4.374","4.374","4.5342","4.859100000000001","0.9166","0.4309","0.034","0.61374","0.19398","0.01974","0.1458","0.0359","0.0348","0.04794","1.194","1.1556","0.6058","8.249400000000001","3.8781","0.3231","1.3121999999999998","0.9733","0.5038","0.5399","1.4042000000000001","0.0476","0.0525","0.0087","0","0","0","0.12616822","4.623568000000001","4.623568000000001","0.72832894","108.39807961611042","0.0001","0.0001","-0.0003","0.0016"
"sa830122","650496","2019","Jean Carlos","Mejia","5","5","0","0","0","5","0","0.6","AL","CLE",,"0.39218","R","22","0.1735","0.1072","0.009615","0.47909537","0.31406114","0.20684349","4.45","0.297354","22.242","4.4484","4.67676","5.05656","3.859","2.3843","0.1852","3.41617","1.00495","0.08051","0.6459","0.2139","0.1201","0.2032","7.5034","4.9187","3.2395","6.9462","4.29174","0.38502000000000003","1.16262","5.1475","2.5982","2.8092","1.5063600000000001","0.2375","0.2475","0","0.8006","0.8006","0","0.13131518","4.8557","4.819","0.72155862","111.80935637413279","0","0","-0.0128","0.0153"
"sa830138","655309","2019","Ivan","Medina","1","1","0","0","0","1","0","0.6","NL","CHN",,"0.21674","R","23","0.1294","0.1698","0.009864","0.4910039","0.30199439","0.20700171","5.85","0.300349","4.819","4.819","5.9877","6.4134","0.6236","0.8183","0.0401","0.7349","0.20356","0.02165","0.1332","0.0475","0.0506","0.04123","1.6101","0.9903","0.6788","5.6124","7.3647","0.4275","1.1988","1.0933","0.6653","0.7126","1.9116","0.0412","0.0556","0","0","0","0","0.1345047","6.2428","6.216","0.7031964","143.1500207893937","0","0","-0.0158","-0.0096"
"sa830143","656119","2019","Yan","De La Cruz","1","1","0","0","0","1","0","0.6","FA","FA",,"0.27073","R","25","0.1101","0.1572","0.0107","0.4980007","0.29699815","0.20500116","5.98","0.303572","4.833","4.833","6.1640999999999995","6.5979","0.5321","0.7598","0.0402","0.78165","0.21386","0.02162","0.1391","0.0517","0.0384","0.04249","1.7187","1.025","0.7075","4.7889","6.8382000000000005","0.46530000000000005","1.2519","1.1562","0.6849","0.7331","1.9160000000000001","0.0393","0.0574","0","0","0","0","0.13570732","6.3396","6.3396","0.69634961","147.3601748846927","0","0","-0.0171","0.0018"
"sa830157","658147","2019","Andry","Rondon","1","1","0","0","0","1","0","0.6","FA","FA",,"0.16708","R","23","0.1339","0.1744","0.010855","0.44599324","0.34899717","0.20500959","6.12","0.29752","4.883","4.883","6.3431999999999995","6.7509","0.6538","0.8516","0.0407","0.71225","0.21029","0.02125","0.1522","0.053","0.0388","0.04757","1.4654","1.1467","0.6736","5.884200000000001","7.6644000000000005","0.477","1.3698000000000001","1.096","0.7048","0.7501","1.9476","0.0388","0.0579","0","0","0","0","0.1327287","6.5458","6.5458","0.69957259","151.65400609148256","0","0","-0.019","0.0018"
"sa830158","650830","2019","Eumir","Sepulveda","1","0.22656140350877196","0.1646","0.936857","0.938","0.062000000000000055","0","0.9747428","FA","FA",,"0.28758","R","23","0.08505875","0.15027432","0.01102","0.37600108","0.41899351","0.20500541","6.7050514","0.2921982246","4.957","4.957","7.6482","8.0307","0.4216","0.7448","0.0224","0.74425","0.25586","0.02683","0.2207","0.0546","0.0394","0.06417","1.3897","1.5486","0.7577","3.7944000000000004","6.7032","0.4914","1.9863","1.2477","0.8498","0.8923","1.9925","0.0243","0.0939","0.014","0","0","0","0.14251582","7.5850946","7.5850946","0.66439601","182.8642059360561","0.0004","0.0002","-0.0258","0.0018"
"sa830225","650731","2019","Jonathan","Padilla","1","0.3485964912280701","0.1386","0.7871392","0.79","0.20999999999999996","0","0.9148557","AL","NYA",,"0.17387","R","26","0.1206785","0.12589026","0.009422","0.44315112","0.35612462","0.20072426","5.670643","0.298055275","4.712","4.712","6.399","6.795","0.5687","0.5932","0.0138","0.74461","0.22213","0.02029","0.1944","0.0444","0.0254","0.05118","1.5419","1.2391","0.6984","5.1183","5.338799999999999","0.3996","1.7496","1.1814","0.711","0.755","1.7746","0.0424","0.0728","0.0304","0","0","0","0.15688806","6.463603","6.222145","0.68785395","152.9880344183627","0.0005","0.0002","-0.0106","0.0036"
"sa830228","658065","2019","Matt","Marsh","1","1","0","0","0","1","0","0.6","FA","FA",,"0.29008","R","27","0.2134","0.0985","0.008793","0.40698943","0.38799864","0.20501193","3.98","0.291989","4.369","4.369","4.4694","4.7934","0.9323","0.4303","0.0364","0.61402","0.19163","0.01939","0.1421","0.0384","0.0347","0.04721","1.1937","1.138","0.6013","8.3907","3.8727","0.34559999999999996","1.2789000000000001","0.9672","0.4966","0.5326","1.3975","0.047","0.05","0","0","0","0","0.12486819","4.5498","4.5498","0.73025805","106.85328059925783","0","0","-0.0007","0.0016"
"sa830240","655992","2019","Israel","Cruz","1","0.18863157894736843","0.1726","0.9837331","0.984","0.016000000000000014","0","0.9934932","NL","SFN",,"0.24619","R","22","0.12622371","0.15231729","0.010026","0.43898376","0.35996906","0.20104718","6.1116267","0.294282033","4.795","4.795","6.062400000000001","6.465599999999999","0.6053","0.7305","0.0209","0.71163","0.22139","0.02845","0.1444","0.0481","0.0503","0.05035","1.4756","1.21","0.6758","5.447699999999999","6.5745","0.43290000000000006","1.2996","1.1058","0.6736","0.7184","1.8362999999999998","0.0339","0.0857","0.0449","0","0","0","0.11933884","6.1633944000000005","6.4790032","0.69312345","144.92257934062604","0.0007","0.0003","-0.0145","0.0075"
