mlbamid,steamerid,proj_season,firstname,lastname,Team,BasicPF,position,bats,p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,wGDP,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
663726,sa874793,2021,Lucas,Herbert,,1.000,C,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,24.00,0.43,0.25,1,0.0010,0.0530,0.0540,0.2905,0.0100,0.0092,0.0063,0.0075,0.9222,0.1678,0.1169,0.0284,0.0029,0.0196,0.181865,0.233182,0.282615,0.227568,0.287450,0.0103,0.0044,-0.0001,0.000,0.001,0.0009,0.000,0.0849,0.0851,0.239186571982,-0.078,0.048,-0.078,0.034,0.0206,0.0000,-0.00219,-0.0021900,-0.00219
650744,sa874814,2021,Carlos,Tatis,,1.000,1B,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,24.00,0.22,0.25,1,0.0000,0.0330,0.0330,0.3251,0.0110,0.0092,0.0063,0.0075,0.9422,0.1443,0.1081,0.0167,0.0016,0.0179,0.153191,0.189529,0.231346,0.186336,0.249680,0.0101,0.0042,0.0000,0.000,0.001,0.0010,0.000,0.0704,0.0744,0.208340201088,-0.113,0.013,-0.113,0.034,-0.0206,0.0000,-0.00959,-0.0095900,-0.00959
663672,sa874992,2021,Isaiah,White,,1.000,OF,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.012,24.00,0.21,0.25,1,0.0000,0.0390,0.0390,0.3675,0.0120,0.0092,0.0063,0.0075,0.9352,0.1306,0.1004,0.0156,0.0016,0.0131,0.139684,0.182781,0.201614,0.173346,0.240030,0.0122,0.0050,0.0001,0.000,0.001,0.0011,0.000,0.0648,0.0645,0.209037537805,-0.124,0.002,-0.124,0.034,-0.0123,0.0000,-0.00984,-0.0098400,-0.00984
664767,sa875053,2021,Kade,Scivicque,,1.000,C,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,28.00,0.63,0.25,1,0.0020,0.0570,0.0590,0.2211,0.0100,0.0092,0.0063,0.0075,0.9172,0.2146,0.1490,0.0418,0.0030,0.0209,0.234064,0.285479,0.354400,0.278726,0.329370,0.0069,0.0029,-0.0001,0.000,0.001,0.0009,0.000,0.1007,0.0999,0.283726380548,-0.035,0.091,-0.035,0.034,0.0206,0.0000,0.00199,0.0019900,0.00199
664853,sa875062,2021,Christopher,Paul,,1.000,3B,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,28.00,0.54,0.25,1,0.0010,0.0510,0.0520,0.2456,0.0110,0.0092,0.0063,0.0075,0.9232,0.2131,0.1451,0.0447,0.0036,0.0197,0.230831,0.277850,0.351007,0.273691,0.336520,0.0104,0.0044,-0.0001,0.000,0.001,0.0009,0.000,0.0991,0.0985,0.290652239255,-0.039,0.087,-0.039,0.034,0.0041,0.0000,0.00000,0.0000000,0.00000
664855,sa875072,2021,Ronnie,Jebavy,,1.000,OF,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.004,27.00,0.50,0.25,1,0.0000,0.0660,0.0660,0.3119,0.0110,0.0092,0.0063,0.0075,0.9092,0.1810,0.1227,0.0353,0.0039,0.0191,0.199096,0.259651,0.309567,0.251676,0.328040,0.0171,0.0070,0.0001,0.000,0.001,0.0011,0.000,0.0929,0.0889,0.276421376131,-0.058,0.068,-0.058,0.034,0.0041,0.0000,-0.00183,-0.0018300,-0.00183
664757,sa875196,2021,Aldemar,Burgos,,1.000,OF,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.004,24.00,0.35,0.25,1,0.0010,0.0480,0.0490,0.2890,0.0110,0.0092,0.0063,0.0075,0.9262,0.1721,0.1211,0.0273,0.0026,0.0210,0.185699,0.233463,0.288923,0.229605,0.292470,0.0103,0.0044,-0.0001,0.000,0.001,0.0009,0.000,0.0857,0.0875,0.242263908931,-0.076,0.050,-0.076,0.034,0.0041,0.0000,-0.00360,-0.0036000,-0.00360
641720,sa875208,2021,Jhalan,Jackson,,1.000,OF,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.012,28.00,0.58,0.25,1,0.0000,0.0790,0.0790,0.3858,0.0120,0.0092,0.0063,0.0075,0.8952,0.1673,0.1011,0.0336,0.0036,0.0290,0.186967,0.260007,0.329824,0.259554,0.380790,0.0129,0.0056,-0.0001,0.000,0.001,0.0009,0.000,0.0989,0.0987,0.283459725354,-0.051,0.075,-0.051,0.034,-0.0123,0.0000,-0.00276,-0.0027600,-0.00276
664014,sa875243,2021,Sean,Miller,,1.000,SS,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.012,26.00,0.60,0.25,1,0.0000,0.0420,0.0420,0.2357,0.0090,0.0092,0.0063,0.0075,0.9352,0.2014,0.1532,0.0359,0.0046,0.0077,0.215360,0.254002,0.288269,0.239540,0.288940,0.0068,0.0030,-0.0002,0.000,0.001,0.0008,0.000,0.0827,0.0782,0.276991276991,-0.068,0.058,-0.068,0.034,0.0123,0.0000,-0.00203,-0.0020300,-0.00203
664941,sa875273,2021,Adam,Walton,,1.000,2B,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,27.00,0.45,0.25,1,0.0000,0.0500,0.0500,0.2554,0.0110,0.0092,0.0063,0.0075,0.9252,0.1854,0.1408,0.0311,0.0028,0.0107,0.200373,0.247944,0.274786,0.232792,0.281210,0.0142,0.0061,-0.0001,0.000,0.001,0.0009,0.000,0.0826,0.0773,0.262076207621,-0.074,0.052,-0.074,0.034,0.0041,0.0000,-0.00340,-0.0034000,-0.00340
