mlbamid,"steamerid","proj_season","firstname","lastname","Team",BasicPF,"position","bats",p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
665701,"sa880808","2020","Alejandro","Garcia",NULL,1.000,"OF","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.012,29.00,0.62,0.25,1,0.0000,0.0400,0.0400,0.1794,0.0120,0.0092,0.0063,0.0075,0.9342,0.2226,0.1596,0.0419,0.0044,0.0166,0.238246,0.276307,0.345938,0.266778,0.303210,0.0140,0.0065,-0.0003,0.000,-0.0003,0.000,0.0933,0.0941,0.27625050,-0.046,0.080,-0.046,0.032,-0.0123,0.0000,-0.00258,-0.0025800,-0.00258
664742,"sa881295","2020","Jay","Feliciano",NULL,1.000,"OF","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-0.012,24.00,0.37,0.25,1,0.0000,0.0430,0.0430,0.2843,0.0110,0.0092,0.0063,0.0075,0.9322,0.1669,0.1188,0.0252,0.0021,0.0207,0.178985,0.222247,0.277299,0.216428,0.273950,0.0095,0.0040,0.0000,0.001,0.0010,0.000,0.0794,0.0835,0.23034504,-0.090,0.037,-0.090,0.032,-0.0123,0.0000,-0.00673,-0.0067300,-0.00673
664329,"sa883288","2020","Anderson","Bohorquez",NULL,1.000,"OF","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,22.00,0.29,0.25,1,0.0000,0.0330,0.0330,0.2962,0.0100,0.0092,0.0063,0.0075,0.9432,0.1513,0.1187,0.0183,0.0020,0.0123,0.160421,0.195538,0.223152,0.183572,0.235620,0.0139,0.0059,0.0000,0.001,0.0010,0.000,0.0660,0.0673,0.21644348,-0.118,0.008,-0.118,0.032,-0.0206,0.0000,-0.01026,-0.0102600,-0.01026
664695,"sa883465","2020","Zach","Welz",NULL,1.000,"OF","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.004,28.00,0.47,0.25,1,0.0000,0.0730,0.0730,0.3044,0.0100,0.0092,0.0063,0.0075,0.9032,0.1972,0.1341,0.0385,0.0036,0.0210,0.218342,0.281979,0.338603,0.268994,0.350260,0.0144,0.0060,0.0000,0.001,0.0010,0.000,0.0960,0.0932,0.30104220,-0.044,0.082,-0.044,0.032,0.0041,0.0000,-0.00067,-0.0006700,-0.00067
667605,"sa914668","2020","Alay","Lago",NULL,1.000,"2B","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,28.00,0.61,0.25,1,0.0000,0.0380,0.0380,0.1589,0.0080,0.0092,0.0063,0.0075,0.9402,0.2391,0.1732,0.0478,0.0048,0.0133,0.254282,0.286881,0.357766,0.275680,0.309700,0.0130,0.0055,-0.0001,0.001,0.0009,0.000,0.0945,0.0943,0.29116699,-0.038,0.088,-0.038,0.032,0.0041,0.0000,-0.00010,-0.0001000,-0.00010
670767,"sa915575","2020","Devin","Hairston",NULL,1.000,"SS","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.012,24.00,0.64,0.25,1,0.0000,0.0540,0.0540,0.2942,0.0070,0.0092,0.0063,0.0075,0.9252,0.1643,0.1280,0.0266,0.0034,0.0063,0.177647,0.226785,0.234235,0.204805,0.255510,0.0087,0.0038,-0.0001,0.001,0.0009,0.000,0.0697,0.0641,0.24992091,-0.100,0.027,-0.100,0.032,0.0123,0.0000,-0.00532,-0.0053200,-0.00532
677048,"sa915595","2020","Rob","Henry",NULL,1.000,"OF","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.012,25.00,0.61,0.25,1,0.0000,0.0830,0.0830,0.3223,0.0130,0.0092,0.0063,0.0075,0.8902,0.1661,0.1203,0.0265,0.0034,0.0159,0.186548,0.263722,0.277538,0.241058,0.304470,0.0184,0.0076,0.0001,0.001,0.0011,0.000,0.0860,0.0777,0.26845398,-0.068,0.058,-0.068,0.032,-0.0123,0.0000,-0.00458,-0.0045800,-0.00458
667487,"sa915658","2020","Orlando","Garcia",NULL,1.000,"2B","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,24.00,0.58,0.25,1,0.0010,0.0630,0.0640,0.2937,0.0130,0.0092,0.0063,0.0075,0.9092,0.1705,0.1293,0.0273,0.0022,0.0117,0.187522,0.249061,0.261064,0.226260,0.279100,0.0100,0.0042,-0.0001,0.001,0.0009,0.000,0.0786,0.0726,0.25977425,-0.081,0.045,-0.081,0.032,0.0041,0.0000,-0.00427,-0.0042700,-0.00427
675621,"sa915734","2020","Kyle","Davis",NULL,1.000,"2B","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,24.00,0.21,0.25,1,0.0000,0.0490,0.0490,0.2698,0.0100,0.0092,0.0063,0.0075,0.9272,0.1524,0.1167,0.0211,0.0021,0.0125,0.164409,0.212778,0.232160,0.196948,0.235340,0.0118,0.0049,0.0000,0.001,0.0010,0.000,0.0705,0.0688,0.21443899,-0.106,0.020,-0.106,0.032,0.0041,0.0000,-0.00669,-0.0066900,-0.00669
676277,"sa915780","2020","Austin","Filiere",NULL,1.000,"3B","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,24.00,0.47,0.25,1,0.0010,0.0560,0.0570,0.3006,0.0100,0.0092,0.0063,0.0075,0.9192,0.1720,0.1244,0.0263,0.0021,0.0192,0.187159,0.240549,0.282970,0.228208,0.292120,0.0074,0.0031,-0.0001,0.001,0.0009,0.000,0.0820,0.0826,0.25177130,-0.079,0.047,-0.079,0.032,0.0041,0.0000,-0.00408,-0.0040800,-0.00408
